geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Columbine CDP, Colorado",8,,16110,,,10816110,101731,5915
"Mancos town, Colorado",8,,48115,,,10848115,43182,12098
"El Jebel CDP, Colorado",8,,23795,,,10823795,107067,11614
"Genoa town, Colorado",8,,29680,,,10829680,38750,12099
"Granby town, Colorado",8,,31605,,,10831605,64792,15383
"Lafayette city, Colorado",8,,41835,,,10841835,83342,3902
"Westminster city, Colorado",8,,83835,,,10883835,76142,2796
"Ramah town, Colorado",8,,62660,,,10862660,53750,32255
"Wheat Ridge city, Colorado",8,,84440,,,10884440,57659,4324
"Rico town, Colorado",8,,64090,,,10864090,50208,19354
"Leadville North CDP, Colorado",8,,44375,,,10844375,50219,5596
"Lake City town, Colorado",8,,42330,,,10842330,55714,10149
"Timnath town, Colorado",8,,77510,,,10877510,138576,16959
"Wellington town, Colorado",8,,83230,,,10883230,91566,5162
"Flagler town, Colorado",8,,26765,,,10826765,48750,24737
"Kim town, Colorado",8,,40570,,,10840570,31719,3697
"Grand Junction city, Colorado",8,,31660,,,10831660,52504,2613
"Redlands CDP, Colorado",8,,63375,,,10863375,78077,5110
"Carbondale town, Colorado",8,,12045,,,10812045,81012,6061
"Larkspur town, Colorado",8,,43550,,,10843550,38393,15416
"Louviers CDP, Colorado",8,,46410,,,10846410,60694,10246
"Parker town, Colorado",8,,57630,,,10857630,110934,5088
"Monte Vista city, Colorado",8,,51635,,,10851635,35588,5340
"Oak Creek town, Colorado",8,,55155,,,10855155,47813,13355
"Blue River town, Colorado",8,,7410,,,10807410,112083,34958
"Westcliffe town, Colorado",8,,83450,,,10883450,33750,11301
"Akron town, Colorado",8,,925,,,10800925,46176,4729
"Ordway town, Colorado",8,,56145,,,10856145,36304,4851
"Eagle town, Colorado",8,,22200,,,10822200,97806,23914
"Minturn town, Colorado",8,,50920,,,10850920,90521,12147
"Florence city, Colorado",8,,27040,,,10827040,50042,5193
"Hot Sulphur Springs town, Colorado",8,,37600,,,10837600,52639,4101
"Manitou Springs city, Colorado",8,,48445,,,10848445,62270,16118
"Coal Creek CDP, Colorado",8,,15302,,,10815302,115357,24648
"Sawpit town, Colorado",8,,68655,,,10868655,,
"Boulder city, Colorado",8,,7850,,,10807850,69520,2648
"Air Force Academy CDP, Colorado",8,,870,,,10800870,78750,17944
"Niwot CDP, Colorado",8,,53780,,,10853780,118914,29439
"Fort Carson CDP, Colorado",8,,27370,,,10827370,48321,2977
"Security-Widefield CDP, Colorado",8,,68847,,,10868847,69352,4657
"Aspen Park CDP, Colorado",8,,3730,,,10803730,94167,31021
"Manassa town, Colorado",8,,48060,,,10848060,37589,3708
"Woodmoor CDP, Colorado",8,,86117,,,10886117,145625,16874
"Padroni CDP, Colorado",8,,56695,,,10856695,38438,19023
"Meridian CDP, Colorado",8,,50012,,,10850012,83239,12109
"Cimarron Hills CDP, Colorado",8,,14587,,,10814587,64780,4822
"Lone Tree city, Colorado",8,,45955,,,10845955,120392,7338
"Arvada city, Colorado",8,,3455,,,10803455,84717,2647
"Rifle city, Colorado",8,,64255,,,10864255,66319,7152
"Sedalia CDP, Colorado",8,,68875,,,10868875,59444,53992
"Peetz town, Colorado",8,,58235,,,10858235,46406,18142
"Monument town, Colorado",8,,51800,,,10851800,107168,11533
"Palmer Lake town, Colorado",8,,57025,,,10857025,77216,18834
"East Pleasant View CDP, Colorado",8,,22575,,,10822575,,
"Evergreen CDP, Colorado",8,,25390,,,10825390,116594,11982
"Indian Hills CDP, Colorado",8,,38810,,,10838810,114470,17063
"Kittredge CDP, Colorado",8,,41065,,,10841065,126364,26113
"Morrison town, Colorado",8,,52075,,,10852075,105536,41348
"Dove Creek town, Colorado",8,,21265,,,10821265,51591,7476
"Sheridan Lake town, Colorado",8,,69700,,,10869700,50313,43349
"Bayfield town, Colorado",8,,5265,,,10805265,62285,7663
"Avon town, Colorado",8,,4110,,,10804110,76303,12043
"Edwards CDP, Colorado",8,,23300,,,10823300,77459,14273
"Rockvale town, Colorado",8,,64970,,,10864970,51000,7937
"Kremmling town, Colorado",8,,41560,,,10841560,52621,12545
"Mount Crested Butte town, Colorado",8,,52570,,,10852570,80156,48692
"Alpine CDP, Colorado",8,,1640,,,10801640,,
"Amherst CDP, Colorado",8,,1915,,,10801915,42438,24687
"Blende CDP, Colorado",8,,7245,,,10807245,40469,18929
"Altona CDP, Colorado",8,,1740,,,10801740,176071,86671
"Bark Ranch CDP, Colorado",8,,4620,,,10804620,,
"Bonanza Mountain Estates CDP, Colorado",8,,7580,,,10807580,86625,28299
"Brandon CDP, Colorado",8,,8290,,,10808290,,
"Brick Center CDP, Colorado",8,,8530,,,10808530,,
"Cathedral CDP, Colorado",8,,12450,,,10812450,,
"Blue Sky CDP, Colorado",8,,7420,,,10807420,93281,26532
"Capulin CDP, Colorado",8,,11975,,,10811975,,
"Catherine CDP, Colorado",8,,12460,,,10812460,67016,64504
"Cattle Creek CDP, Colorado",8,,12470,,,10812470,68203,27273
"Chacra CDP, Colorado",8,,12945,,,10812945,118224,26705
"Cherry Creek CDP, Colorado",8,,13590,,,10813590,110988,13210
"Coaldale CDP, Colorado",8,,15440,,,10815440,,
"Colona CDP, Colorado",8,,15825,,,10815825,,
"City of Creede town, Colorado",8,,14765,,,10814765,56250,15631
"Comanche Creek CDP, Colorado",8,,16465,,,10816465,139286,29808
"Conejos CDP, Colorado",8,,16715,,,10816715,,
"Copper Mountain CDP, Colorado",8,,17150,,,10817150,55119,13681
"Cotopaxi CDP, Colorado",8,,17485,,,10817485,,
"Crisman CDP, Colorado",8,,18585,,,10818585,,
"Dakota Ridge CDP, Colorado",8,,19150,,,10819150,100438,3357
"Dotsero CDP, Colorado",8,,21155,,,10821155,95274,15391
"Dove Valley CDP, Colorado",8,,21330,,,10821330,70000,15519
"Elbert CDP, Colorado",8,,23520,,,10823520,40833,17081
"Ellicott CDP, Colorado",8,,24235,,,10824235,47336,20889
"El Moro CDP, Colorado",8,,24290,,,10824290,77054,20669
"Mountain View town, Colorado",8,,52350,,,10852350,63250,17909
"Superior town, Colorado",8,,75640,,,10875640,127292,12055
"Atwood CDP, Colorado",8,,3840,,,10803840,48333,15882
"Paonia town, Colorado",8,,57300,,,10857300,41683,6167
