geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Block Group 1, Census Tract 93.23, Adams County, Colorado",8,1,,9323,1,1080010093231,59318,20072
"Block Group 2, Census Tract 93.23, Adams County, Colorado",8,1,,9323,2,1080010093232,48750,15744
"Block Group 6, Census Tract 80, Adams County, Colorado",8,1,,8000,6,1080010080006,68097,24730
"Block Group 2, Census Tract 80, Adams County, Colorado",8,1,,8000,2,1080010080002,31633,15929
"Block Group 3, Census Tract 80, Adams County, Colorado",8,1,,8000,3,1080010080003,40781,35745
"Block Group 5, Census Tract 80, Adams County, Colorado",8,1,,8000,5,1080010080005,,
"Block Group 1, Census Tract 97.52, Adams County, Colorado",8,1,,9752,1,1080010097521,64107,15377
"Block Group 3, Census Tract 85.45, Adams County, Colorado",8,1,,8545,3,1080010085453,123750,32541
"Block Group 2, Census Tract 600, Adams County, Colorado",8,1,,60000,2,1080010600002,107406,37271
"Block Group 3, Census Tract 93.08, Adams County, Colorado",8,1,,9308,3,1080010093083,67976,21070
"Block Group 3, Census Tract 87.06, Adams County, Colorado",8,1,,8706,3,1080010087063,60824,12214
"Block Group 2, Census Tract 83.53, Adams County, Colorado",8,1,,8353,2,1080010083532,87672,5495
"Block Group 3, Census Tract 93.10, Adams County, Colorado",8,1,,9310,3,1080010093103,75517,21081
"Block Group 1, Census Tract 92.04, Adams County, Colorado",8,1,,9204,1,1080010092041,77940,12009
"Block Group 2, Census Tract 85.38, Adams County, Colorado",8,1,,8538,2,1080010085382,112214,10829
"Block Group 3, Census Tract 93.16, Adams County, Colorado",8,1,,9316,3,1080010093163,33355,28902
"Block Group 2, Census Tract 85.46, Adams County, Colorado",8,1,,8546,2,1080010085462,92411,12327
"Block Group 1, Census Tract 93.06, Adams County, Colorado",8,1,,9306,1,1080010093061,54534,15031
"Block Group 5, Census Tract 85.43, Adams County, Colorado",8,1,,8543,5,1080010085435,52411,18771
"Block Group 1, Census Tract 85.44, Adams County, Colorado",8,1,,8544,1,1080010085441,124511,9850
"Block Group 4, Census Tract 85.45, Adams County, Colorado",8,1,,8545,4,1080010085454,94000,51707
"Block Group 1, Census Tract 600, Adams County, Colorado",8,1,,60000,1,1080010600001,117850,16763
"Block Group 1, Census Tract 92.06, Adams County, Colorado",8,1,,9206,1,1080010092061,76087,9460
"Block Group 1, Census Tract 85.42, Adams County, Colorado",8,1,,8542,1,1080010085421,102443,9615
"Block Group 1, Census Tract 85.49, Adams County, Colorado",8,1,,8549,1,1080010085491,90179,15550
"Block Group 1, Census Tract 85.50, Adams County, Colorado",8,1,,8550,1,1080010085501,100588,27744
"Block Group 1, Census Tract 85.41, Adams County, Colorado",8,1,,8541,1,1080010085411,125673,16227
"Block Group 1, Census Tract 85.37, Adams County, Colorado",8,1,,8537,1,1080010085371,91808,6489
"Block Group 3, Census Tract 78.02, Adams County, Colorado",8,1,,7802,3,1080010078023,41837,9927
"Block Group 1, Census Tract 85.05, Adams County, Colorado",8,1,,8505,1,1080010085051,88203,21979
"Block Group 2, Census Tract 85.29, Adams County, Colorado",8,1,,8529,2,1080010085292,73542,9441
"Block Group 1, Census Tract 92.02, Adams County, Colorado",8,1,,9202,1,1080010092021,55244,15759
"Block Group 1, Census Tract 93.08, Adams County, Colorado",8,1,,9308,1,1080010093081,97232,60821
"Block Group 1, Census Tract 93.09, Adams County, Colorado",8,1,,9309,1,1080010093091,45690,7095
"Block Group 2, Census Tract 94.09, Adams County, Colorado",8,1,,9409,2,1080010094092,102059,17116
"Block Group 2, Census Tract 95.02, Adams County, Colorado",8,1,,9502,2,1080010095022,57454,15095
"Block Group 5, Census Tract 85.26, Adams County, Colorado",8,1,,8526,5,1080010085265,111167,30169
"Block Group 2, Census Tract 85.26, Adams County, Colorado",8,1,,8526,2,1080010085262,83958,47699
"Block Group 1, Census Tract 86.06, Adams County, Colorado",8,1,,8606,1,1080010086061,53855,11498
"Block Group 1, Census Tract 87.06, Adams County, Colorado",8,1,,8706,1,1080010087061,36250,10345
"Block Group 5, Census Tract 85.05, Adams County, Colorado",8,1,,8505,5,1080010085055,78000,28402
"Block Group 3, Census Tract 85.05, Adams County, Colorado",8,1,,8505,3,1080010085053,84737,22350
"Block Group 3, Census Tract 85.23, Adams County, Colorado",8,1,,8523,3,1080010085233,75515,18975
"Block Group 1, Census Tract 93.04, Adams County, Colorado",8,1,,9304,1,1080010093041,100962,26294
"Block Group 4, Census Tract 93.04, Adams County, Colorado",8,1,,9304,4,1080010093044,84800,28995
"Block Group 1, Census Tract 92.03, Adams County, Colorado",8,1,,9203,1,1080010092031,42917,14431
"Block Group 1, Census Tract 86.05, Adams County, Colorado",8,1,,8605,1,1080010086051,53849,22452
"Block Group 4, Census Tract 90.02, Adams County, Colorado",8,1,,9002,4,1080010090024,80515,34590
"Block Group 5, Census Tract 90.02, Adams County, Colorado",8,1,,9002,5,1080010090025,55735,12983
"Block Group 4, Census Tract 93.16, Adams County, Colorado",8,1,,9316,4,1080010093164,46667,8706
"Block Group 2, Census Tract 96.07, Adams County, Colorado",8,1,,9607,2,1080010096072,70698,17181
"Block Group 3, Census Tract 96.07, Adams County, Colorado",8,1,,9607,3,1080010096073,35086,5593
"Block Group 1, Census Tract 80, Adams County, Colorado",8,1,,8000,1,1080010080001,59861,21982
"Block Group 4, Census Tract 80, Adams County, Colorado",8,1,,8000,4,1080010080004,59083,55862
"Block Group 1, Census Tract 78.01, Adams County, Colorado",8,1,,7801,1,1080010078011,28281,6617
"Block Group 2, Census Tract 601, Adams County, Colorado",8,1,,60100,2,1080010601002,95833,12251
"Block Group 4, Census Tract 87.05, Adams County, Colorado",8,1,,8705,4,1080010087054,45885,11550
"Block Group 2, Census Tract 96.03, Adams County, Colorado",8,1,,9603,2,1080010096032,90862,23589
"Block Group 1, Census Tract 91.01, Adams County, Colorado",8,1,,9101,1,1080010091011,74612,14061
"Block Group 3, Census Tract 93.25, Adams County, Colorado",8,1,,9325,3,1080010093253,62287,12295
"Block Group 1, Census Tract 85.38, Adams County, Colorado",8,1,,8538,1,1080010085381,,
"Block Group 5, Census Tract 87.09, Adams County, Colorado",8,1,,8709,5,1080010087095,44010,2313
"Block Group 2, Census Tract 84.01, Adams County, Colorado",8,1,,8401,2,1080010084012,59099,4776
"Block Group 3, Census Tract 85.24, Adams County, Colorado",8,1,,8524,3,1080010085243,80385,19417
"Block Group 2, Census Tract 85.24, Adams County, Colorado",8,1,,8524,2,1080010085242,107153,20049
"Block Group 1, Census Tract 85.07, Adams County, Colorado",8,1,,8507,1,1080010085071,94601,24775
"Block Group 3, Census Tract 83.09, Adams County, Colorado",8,1,,8309,3,1080010083093,48618,14646
"Block Group 3, Census Tract 83.53, Adams County, Colorado",8,1,,8353,3,1080010083533,98229,56922
"Block Group 3, Census Tract 85.06, Adams County, Colorado",8,1,,8506,3,1080010085063,44911,4552
"Block Group 1, Census Tract 85.33, Adams County, Colorado",8,1,,8533,1,1080010085331,90694,15333
"Block Group 1, Census Tract 85.39, Adams County, Colorado",8,1,,8539,1,1080010085391,94482,12585
"Block Group 3, Census Tract 93.27, Adams County, Colorado",8,1,,9327,3,1080010093273,44063,25390
"Block Group 1, Census Tract 85.34, Adams County, Colorado",8,1,,8534,1,1080010085341,96425,12932
"Block Group 3, Census Tract 88.01, Adams County, Colorado",8,1,,8801,3,1080010088013,47083,10276
"Block Group 2, Census Tract 91.03, Adams County, Colorado",8,1,,9103,2,1080010091032,44871,14547
"Block Group 3, Census Tract 92.04, Adams County, Colorado",8,1,,9204,3,1080010092043,77663,13319
"Block Group 2, Census Tract 93.18, Adams County, Colorado",8,1,,9318,2,1080010093182,46109,11214
"Block Group 3, Census Tract 93.21, Adams County, Colorado",8,1,,9321,3,1080010093213,49750,8624
"Block Group 4, Census Tract 93.23, Adams County, Colorado",8,1,,9323,4,1080010093234,39865,9926
"Block Group 1, Census Tract 81, Adams County, Colorado",8,1,,8100,1,1080010081001,40938,6730
"Block Group 2, Census Tract 93.27, Adams County, Colorado",8,1,,9327,2,1080010093272,85150,45138
